record_id,chapter,source_record_id,source_record_type,features,qualifications,source_anchor_verified,record_shape_verified,semantic_interpretation_verified,review_state,reviewer_action
ibc2018:semantic-pilot:15659beb2180df78ab789daf,17,ibc2018:table:77da12fde42aff0d37c39d61,table,"[""chapter_specific_terminology"",""dimensional_units"",""footnotes_or_notes"",""internal_cross_reference"",""table_to_prose_applicability_anchor""]","[""Source identity, location, and structural attachment are checked; legal effect and applicability are not.""]",True,True,False,provisional,"confirm applicability, units, formula/exception/reference relationships, and normative context; record reviewer identity and notes"
ibc2018:semantic-pilot:25e6ba5b9977e9f4c5c5d5b4,17,ibc2018:table:17d7b4c803c54e8961a975db,table,"[""chapter_specific_terminology"",""table_to_prose_applicability_anchor""]","[""Source identity, location, and structural attachment are checked; legal effect and applicability are not.""]",True,True,False,provisional,"confirm applicability, units, formula/exception/reference relationships, and normative context; record reviewer identity and notes"
ibc2018:semantic-pilot:994bcadc9c8d1df69881187b,17,ibc2018:table:f727d41b5c10818bcc0f4f49,table,"[""chapter_specific_terminology"",""dimensional_units"",""footnotes_or_notes"",""internal_cross_reference"",""table_to_prose_applicability_anchor""]","[""Source identity, location, and structural attachment are checked; legal effect and applicability are not.""]",True,True,False,provisional,"confirm applicability, units, formula/exception/reference relationships, and normative context; record reviewer identity and notes"
ibc2018:semantic-pilot:94af551ba87d121e6fa7d061,2,ibc2018:definition:48bd3ff42fac4de3a6266b7f,definition,"[""chapter_specific_terminology""]","[""Source identity, location, and structural attachment are checked; legal effect and applicability are not.""]",True,True,False,provisional,"confirm applicability, units, formula/exception/reference relationships, and normative context; record reviewer identity and notes"
ibc2018:semantic-pilot:17f2750c2e3e663c25c83a0b,3,ibc2018:table:da87a6998e3f2df190330c8e,table,"[""chapter_specific_terminology"",""dimensional_units"",""footnotes_or_notes"",""hierarchical_or_merged_headers"",""internal_cross_reference"",""multi_page_continuation"",""table_to_prose_applicability_anchor""]","[""The representative source geometry exercises a multi-level header candidate; semantic row-span and column-span meaning remains unreviewed.""]",True,True,False,provisional,"confirm applicability, units, formula/exception/reference relationships, and normative context; record reviewer identity and notes"
ibc2018:semantic-pilot:c4da7065374d49bb8fea1acc,3,ibc2018:table:4b188f37cd32cf24f9af3c40,table,"[""chapter_specific_terminology"",""dimensional_units"",""footnotes_or_notes"",""internal_cross_reference"",""table_to_prose_applicability_anchor""]","[""Source identity, location, and structural attachment are checked; legal effect and applicability are not.""]",True,True,False,provisional,"confirm applicability, units, formula/exception/reference relationships, and normative context; record reviewer identity and notes"
ibc2018:semantic-pilot:34e8d333d98f01d11fd91ecb,35,ibc2018:chapter35-row:65616851bd5223a19df9a07e,chapter35_referenced_standard_entry,"[""external_standard_relationship"",""internal_cross_reference""]","[""Source identity, location, and structural attachment are checked; legal effect and applicability are not.""]",True,True,False,provisional,"confirm applicability, units, formula/exception/reference relationships, and normative context; record reviewer identity and notes"
ibc2018:semantic-pilot:8592a5d94b502a19a9b5f13b,35,ibc2018:chapter35-row:565ed8d0ddfe3b9693b34e8d,chapter35_referenced_standard_entry,"[""external_standard_relationship"",""internal_cross_reference""]","[""Source identity, location, and structural attachment are checked; legal effect and applicability are not.""]",True,True,False,provisional,"confirm applicability, units, formula/exception/reference relationships, and normative context; record reviewer identity and notes"
ibc2018:semantic-pilot:9c754f52d93703ade363912c,35,ibc2018:chapter35-row:42fdde06017da51ced092339,chapter35_referenced_standard_entry,"[""external_standard_relationship"",""internal_cross_reference""]","[""Source identity, location, and structural attachment are checked; legal effect and applicability are not.""]",True,True,False,provisional,"confirm applicability, units, formula/exception/reference relationships, and normative context; record reviewer identity and notes"
ibc2018:semantic-pilot:808f12ffa39124a54a840bf3,5,ibc2018:equation:eae0f59cf397d3475926b761,equation,"[""displayed_formula"",""table_to_prose_applicability_anchor""]","[""Source identity, location, and structural attachment are checked; legal effect and applicability are not.""]",True,True,False,provisional,"confirm applicability, units, formula/exception/reference relationships, and normative context; record reviewer identity and notes"
ibc2018:semantic-pilot:98908e653d59216d6b6f1a43,5,ibc2018:table:7e27917edac86ef7fec3765a,table,"[""chapter_specific_terminology"",""footnotes_or_notes"",""internal_cross_reference"",""multi_page_continuation"",""table_to_prose_applicability_anchor""]","[""Source identity, location, and structural attachment are checked; legal effect and applicability are not.""]",True,True,False,provisional,"confirm applicability, units, formula/exception/reference relationships, and normative context; record reviewer identity and notes"
ibc2018:semantic-pilot:be93b7c24f477cd6e8459519,5,ibc2018:table:8a473433a686e2e607b21ed9,table,"[""chapter_specific_terminology"",""dimensional_units"",""footnotes_or_notes"",""internal_cross_reference"",""nearby_exception_relationship"",""table_to_prose_applicability_anchor""]","[""Source identity, location, and structural attachment are checked; legal effect and applicability are not.""]",True,True,False,provisional,"confirm applicability, units, formula/exception/reference relationships, and normative context; record reviewer identity and notes"
ibc2018:semantic-pilot:96437516df0a42259039ef7b,6,ibc2018:table:7b570c5098ab0ff7f8524ad6,table,"[""chapter_specific_terminology"",""dimensional_units"",""footnotes_or_notes"",""internal_cross_reference"",""table_to_prose_applicability_anchor""]","[""Source identity, location, and structural attachment are checked; legal effect and applicability are not.""]",True,True,False,provisional,"confirm applicability, units, formula/exception/reference relationships, and normative context; record reviewer identity and notes"
ibc2018:semantic-pilot:ce0c8b505a7cf72649372d65,6,ibc2018:table:efca890923bc8c64a8c54391,table,"[""chapter_specific_terminology"",""dimensional_units"",""footnotes_or_notes"",""internal_cross_reference"",""nearby_exception_relationship"",""table_to_prose_applicability_anchor""]","[""Source identity, location, and structural attachment are checked; legal effect and applicability are not.""]",True,True,False,provisional,"confirm applicability, units, formula/exception/reference relationships, and normative context; record reviewer identity and notes"
ibc2018:semantic-pilot:621748dd7d004012b6ac7735,7,ibc2018:figure:a2c29032fec38df11776dac5,figure,"[""chapter_specific_terminology"",""figure_to_prose_relationship"",""footnotes_or_notes"",""nearby_exception_relationship""]","[""Source identity, location, and structural attachment are checked; legal effect and applicability are not.""]",True,True,False,provisional,"confirm applicability, units, formula/exception/reference relationships, and normative context; record reviewer identity and notes"
ibc2018:semantic-pilot:64481c25e2927aea636ff856,7,ibc2018:table:bcd121751db7b01b660b4764,table,"[""dimensional_units"",""footnotes_or_notes"",""nearby_exception_relationship"",""table_to_prose_applicability_anchor""]","[""Source identity, location, and structural attachment are checked; legal effect and applicability are not.""]",True,True,False,provisional,"confirm applicability, units, formula/exception/reference relationships, and normative context; record reviewer identity and notes"
ibc2018:semantic-pilot:e99c8448b9da4dd55f632fae,7,ibc2018:equation:a392e8d2c8b9b6b1ac6dc227,equation,"[""displayed_formula"",""table_to_prose_applicability_anchor""]","[""Source identity, location, and structural attachment are checked; legal effect and applicability are not.""]",True,True,False,provisional,"confirm applicability, units, formula/exception/reference relationships, and normative context; record reviewer identity and notes"
