chapter,confidence,evidence,id,interpretation,record_type,review_state,reviewer_notes,source_record_id,source_record_type,structural_verification
11,0.45,"[""ibc2018:table:e7ffc91afeaaa1f1cb3713a3""]",ibc2018:semantic-pilot:77c58912c771466038a8e35d,"{""applicability"":""not_interpreted"",""model_checking_projection"":null,""normative_status"":""unreviewed"",""requirement_interpretation"":null,""semantic_type"":""accessibility dimension""}",semantic_pilot_record,provisional,Representative structural record only; no legal or compliance interpretation asserted.,ibc2018:table:e7ffc91afeaaa1f1cb3713a3,table,"{""features"":[""chapter_specific_terminology"",""table_to_prose_applicability_anchor""],""qualifications"":[""Source identity, location, and structural attachment are checked; legal effect and applicability are not.""],""record_shape_verified"":true,""semantic_interpretation_verified"":false,""source_anchor_verified"":true}"
16,0.45,"[""ibc2018:table:20eab036d56817269521a2ac""]",ibc2018:semantic-pilot:e76240c14299737b1f8c4ab6,"{""applicability"":""not_interpreted"",""model_checking_projection"":null,""normative_status"":""unreviewed"",""requirement_interpretation"":null,""semantic_type"":""unknown""}",semantic_pilot_record,provisional,Representative structural record only; no legal or compliance interpretation asserted.,ibc2018:table:20eab036d56817269521a2ac,table,"{""features"":[""dimensional_units"",""footnotes_or_notes"",""internal_cross_reference"",""table_to_prose_applicability_anchor""],""qualifications"":[""Source identity, location, and structural attachment are checked; legal effect and applicability are not.""],""record_shape_verified"":true,""semantic_interpretation_verified"":false,""source_anchor_verified"":true}"
16,0.45,"[""ibc2018:figure:8b41ef10657d1bf2de9df53b""]",ibc2018:semantic-pilot:70612589d70705e1c588afe8,"{""applicability"":""not_interpreted"",""model_checking_projection"":null,""normative_status"":""unreviewed"",""requirement_interpretation"":null,""semantic_type"":""structural configuration""}",semantic_pilot_record,provisional,Representative structural record only; no legal or compliance interpretation asserted.,ibc2018:figure:8b41ef10657d1bf2de9df53b,figure,"{""features"":[""chapter_specific_terminology"",""figure_to_prose_relationship""],""qualifications"":[""Source identity, location, and structural attachment are checked; legal effect and applicability are not.""],""record_shape_verified"":true,""semantic_interpretation_verified"":false,""source_anchor_verified"":true}"
16,0.45,"[""ibc2018:equation:db2c3550b796cd8bdd98a1db""]",ibc2018:semantic-pilot:96a3d67780e0fa435578d80e,"{""applicability"":""not_interpreted"",""model_checking_projection"":null,""normative_status"":""unreviewed"",""requirement_interpretation"":null,""semantic_type"":""displayed_equation_or_formula_block""}",semantic_pilot_record,provisional,Representative structural record only; no legal or compliance interpretation asserted.,ibc2018:equation:db2c3550b796cd8bdd98a1db,equation,"{""features"":[""displayed_formula""],""qualifications"":[""Source identity, location, and structural attachment are checked; legal effect and applicability are not.""],""record_shape_verified"":true,""semantic_interpretation_verified"":false,""source_anchor_verified"":true}"
17,0.45,"[""ibc2018:table:f727d41b5c10818bcc0f4f49""]",ibc2018:semantic-pilot:994bcadc9c8d1df69881187b,"{""applicability"":""not_interpreted"",""model_checking_projection"":null,""normative_status"":""unreviewed"",""requirement_interpretation"":null,""semantic_type"":""inspection requirement""}",semantic_pilot_record,provisional,Representative structural record only; no legal or compliance interpretation asserted.,ibc2018:table:f727d41b5c10818bcc0f4f49,table,"{""features"":[""chapter_specific_terminology"",""dimensional_units"",""footnotes_or_notes"",""internal_cross_reference"",""table_to_prose_applicability_anchor""],""qualifications"":[""Source identity, location, and structural attachment are checked; legal effect and applicability are not.""],""record_shape_verified"":true,""semantic_interpretation_verified"":false,""source_anchor_verified"":true}"
17,0.45,"[""ibc2018:table:77da12fde42aff0d37c39d61""]",ibc2018:semantic-pilot:15659beb2180df78ab789daf,"{""applicability"":""not_interpreted"",""model_checking_projection"":null,""normative_status"":""unreviewed"",""requirement_interpretation"":null,""semantic_type"":""inspection requirement""}",semantic_pilot_record,provisional,Representative structural record only; no legal or compliance interpretation asserted.,ibc2018:table:77da12fde42aff0d37c39d61,table,"{""features"":[""chapter_specific_terminology"",""dimensional_units"",""footnotes_or_notes"",""internal_cross_reference"",""table_to_prose_applicability_anchor""],""qualifications"":[""Source identity, location, and structural attachment are checked; legal effect and applicability are not.""],""record_shape_verified"":true,""semantic_interpretation_verified"":false,""source_anchor_verified"":true}"
17,0.45,"[""ibc2018:table:17d7b4c803c54e8961a975db""]",ibc2018:semantic-pilot:25e6ba5b9977e9f4c5c5d5b4,"{""applicability"":""not_interpreted"",""model_checking_projection"":null,""normative_status"":""unreviewed"",""requirement_interpretation"":null,""semantic_type"":""inspection requirement""}",semantic_pilot_record,provisional,Representative structural record only; no legal or compliance interpretation asserted.,ibc2018:table:17d7b4c803c54e8961a975db,table,"{""features"":[""chapter_specific_terminology"",""table_to_prose_applicability_anchor""],""qualifications"":[""Source identity, location, and structural attachment are checked; legal effect and applicability are not.""],""record_shape_verified"":true,""semantic_interpretation_verified"":false,""source_anchor_verified"":true}"
35,0.45,"[""ibc2018:chapter35-row:65616851bd5223a19df9a07e""]",ibc2018:semantic-pilot:34e8d333d98f01d11fd91ecb,"{""applicability"":""not_interpreted"",""model_checking_projection"":null,""normative_status"":""unreviewed"",""requirement_interpretation"":null,""semantic_type"":""referenced_standard_entry""}",semantic_pilot_record,provisional,Representative structural record only; no legal or compliance interpretation asserted.,ibc2018:chapter35-row:65616851bd5223a19df9a07e,chapter35_referenced_standard_entry,"{""features"":[""external_standard_relationship"",""internal_cross_reference""],""qualifications"":[""Source identity, location, and structural attachment are checked; legal effect and applicability are not.""],""record_shape_verified"":true,""semantic_interpretation_verified"":false,""source_anchor_verified"":true}"
35,0.45,"[""ibc2018:chapter35-row:42fdde06017da51ced092339""]",ibc2018:semantic-pilot:9c754f52d93703ade363912c,"{""applicability"":""not_interpreted"",""model_checking_projection"":null,""normative_status"":""unreviewed"",""requirement_interpretation"":null,""semantic_type"":""referenced_standard_entry""}",semantic_pilot_record,provisional,Representative structural record only; no legal or compliance interpretation asserted.,ibc2018:chapter35-row:42fdde06017da51ced092339,chapter35_referenced_standard_entry,"{""features"":[""external_standard_relationship"",""internal_cross_reference""],""qualifications"":[""Source identity, location, and structural attachment are checked; legal effect and applicability are not.""],""record_shape_verified"":true,""semantic_interpretation_verified"":false,""source_anchor_verified"":true}"
35,0.45,"[""ibc2018:chapter35-row:565ed8d0ddfe3b9693b34e8d""]",ibc2018:semantic-pilot:8592a5d94b502a19a9b5f13b,"{""applicability"":""not_interpreted"",""model_checking_projection"":null,""normative_status"":""unreviewed"",""requirement_interpretation"":null,""semantic_type"":""referenced_standard_entry""}",semantic_pilot_record,provisional,Representative structural record only; no legal or compliance interpretation asserted.,ibc2018:chapter35-row:565ed8d0ddfe3b9693b34e8d,chapter35_referenced_standard_entry,"{""features"":[""external_standard_relationship"",""internal_cross_reference""],""qualifications"":[""Source identity, location, and structural attachment are checked; legal effect and applicability are not.""],""record_shape_verified"":true,""semantic_interpretation_verified"":false,""source_anchor_verified"":true}"
2,0.5,"[""ibc2018:definition:48bd3ff42fac4de3a6266b7f""]",ibc2018:semantic-pilot:94af551ba87d121e6fa7d061,"{""applicability"":""not_interpreted"",""semantic_type"":""definition""}",semantic_pilot_record,provisional,Attachment and scope preservation pilot.,ibc2018:definition:48bd3ff42fac4de3a6266b7f,definition,"{""features"":[""chapter_specific_terminology""],""qualifications"":[""Source identity, location, and structural attachment are checked; legal effect and applicability are not.""],""record_shape_verified"":true,""semantic_interpretation_verified"":false,""source_anchor_verified"":true}"
1,0.5,"[""ibc2018:exception:518233bb368e7beafd08d435""]",ibc2018:semantic-pilot:49d1615aa54067af79ad9ca1,"{""applicability"":""not_interpreted"",""semantic_type"":""exception""}",semantic_pilot_record,provisional,Attachment and scope preservation pilot.,ibc2018:exception:518233bb368e7beafd08d435,exception_block,"{""features"":[""chapter_specific_terminology"",""nearby_exception_relationship""],""qualifications"":[""Source identity, location, and structural attachment are checked; legal effect and applicability are not.""],""record_shape_verified"":true,""semantic_interpretation_verified"":false,""source_anchor_verified"":true}"
